76
(4-11),FINAL,-2.1004,-0.036,0,0.1134,2.2418,1.3954,5.4966,2.749,8.4033,2.8849,13.8,13.8,-9.6939,-4.5167,-11.0378,-16.3681,-37.3778,-25.0467,-0.0000414,1.97E+00,6.55E-01,1.61E+01,5.36E+00,5.71E+01,1.90E+01,7.67E+01,2.56E+01,100,0.853461,80,0.952742512,0.047252092,5.36E-06,3.78E-08,6.92E-12,8.68E-12,0.099281754,0.898854611,0.000270435,0.001592091,4.00E-07,7.08E-07
(16-80),FINAL,-2.2346,0.3684,0,0.9387,1.9964,5.2316,4.8229,2.4695,5.0881,0.61,13.8,13.8,-8.6999,-4.4242,-9.7749,-17.3199,-37.6427,-25.3116,-0.000268,2.00E+00,6.67E-01,1.63E+01,5.45E+00,5.77E+01,1.92E+01,7.72E+01,2.57E+01,100,0.853197,80,0.938620884,0.06136926,9.83E-06,2.14E-08,3.12E-12,8.30E-15,0.085424195,0.913201914,0.000224056,0.001149222,2.37E-07,3.75E-07
(17-67),FINAL,-1.9484,-0.0188,0,3.9807,0.96,2.3638,5.0253,1.4038,7.6754,5.0474,13.8,13.8,-12.2498,-4.3896,-16.2182,-17.1895,-36.1421,-23.811,-0.000497,2.00E+00,6.66E-01,1.63E+01,5.43E+00,5.72E+01,1.90E+01,7.63E+01,2.54E+01,100,0.835005,80,0.968953106,0.031019874,2.69E-05,1.20E-07,1.03E-10,3.79E-12,0.13394841,0.856708293,0.001700856,0.007611084,1.31E-05,1.83E-05
(3-61),FINAL,0.6495,3.0639,0,2.7541,3.5353,5.6872,6.7707,1.4706,2.1118,5.001,13.8,13.8,-8.8961,-2.176,-13.4675,-16.7851,-34.1382,-21.8071,-0.0001733,1.92E+00,6.40E-01,1.58E+01,5.27E+00,5.72E+01,1.90E+01,7.74E+01,2.58E+01,100,0.832679,80,0.91434097,0.085643887,1.51E-05,4.89E-08,9.39E-12,5.67E-14,0.081662362,0.916250673,0.000328785,0.001756427,5.96E-07,1.16E-06
(2-62),FINAL,-0.3478,1.8207,0,1.0118,3.0163,8.6543,4.1128,1.2554,4.3072,2.8398,13.8,13.8,-8.3734,-4.3695,-9.0288,-17.8677,-35.529,-23.1979,-0.0001829,1.95E+00,6.49E-01,1.60E+01,5.34E+00,5.78E+01,1.92E+01,7.81E+01,2.60E+01,100,0.829473,80,0.970837975,0.029147047,1.50E-05,1.61E-08,7.88E-12,7.57E-14,0.141364869,0.856515374,0.000630837,0.001487286,9.30E-07,7.04E-07
(3-16),FINAL,1.3108,3.5168,0,0.0792,2.5701,4.4785,4.6267,6.2557,6.5774,0.1602,13.8,13.8,-8.3186,-2.2585,-7.4631,-16.1403,-33.1222,-20.7911,-0.0004355,1.96E+00,6.50E-01,1.61E+01,5.34E+00,5.75E+01,1.92E+01,7.75E+01,2.58E+01,100,0.82383,80,0.908874193,0.091107579,1.82E-05,3.17E-08,5.64E-12,1.08E-13,0.085044494,0.913578292,0.00028416,0.001092307,3.13E-07,4.35E-07
(11-69),FINAL,1.7826,3.2101,0,1.4248,0.7091,4.9114,8.0281,2.377,2.6164,4.1238,13.8,13.8,-7.1967,-5.4885,-9.629,-16.1041,-33.395,-21.0639,-0.0007761,1.98E+00,6.57E-01,1.61E+01,5.35E+00,5.62E+01,1.87E+01,7.49E+01,2.49E+01,100,0.819743,80,0.972811712,0.02718307,5.20E-06,1.61E-08,2.84E-12,5.10E-15,0.153068908,0.845682586,0.00034198,0.000906002,2.96E-07,2.28E-07
(18-5),FINAL,2.5347,4.3672,0,1.0637,1.3055,6.443,4.6477,1.0841,4.4529,7.2407,13.8,13.8,-10.4482,-6.5451,-12.9498,-17.7489,-32.9894,-20.6583,-0.0004253,1.95E+00,6.49E-01,1.61E+01,5.35E+00,5.80E+01,1.93E+01,7.85E+01,2.61E+01,100,0.814043,80,0.98731553,0.012678531,5.92E-06,2.14E-08,9.22E-12,1.53E-14,0.173272798,0.824045962,0.00066277,0.00201581,1.37E-06,1.29E-06
(10-20),FINAL,-0.9994,0.7459,0,3.1049,0.5351,6.4219,5.204,1.366,9.5573,4.945,13.8,13.8,-9.1694,-1.768,-12.01,-16.1584,-36.0311,-23.7,-0.0003375,1.97E+00,6.56E-01,1.62E+01,5.40E+00,5.85E+01,1.95E+01,7.92E+01,2.64E+01,100,0.810277,80,0.928352293,0.071636303,1.13E-05,5.50E-08,8.90E-12,5.74E-13,0.118075325,0.879552311,0.000421135,0.001948949,9.06E-07,1.37E-06
(20-28),FINAL,0.2283,1.4801,0,1.6645,1.1178,3.0485,5.3776,2.403,9.4699,3.0722,13.8,13.8,-11.7401,-3.484,-13.9311,-15.8964,-34.7775,-22.4464,-0.0000469,1.96E+00,6.54E-01,1.61E+01,5.35E+00,5.71E+01,1.90E+01,7.67E+01,2.56E+01,100,0.803177,80,0.970256187,0.029737285,6.48E-06,5.11E-08,1.04E-11,6.93E-16,0.167079186,0.829889971,0.000701415,0.002326023,1.69E-06,1.71E-06
